what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586759509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586762048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586771306
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1626586787925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586788361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586790028
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1626586791830
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1626586791856
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1626586793605
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1626586793683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586803738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1626586814441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586928062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586940098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586945664
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.J2EEPerspective",1626586945718
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1626586945725
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1626586945800
